runna_exerciseId,garmin_category,garmin_exercise,garmin_name,method,confidence,runna_data,intensity,runna_equip,runna_muscleBroad,intensity_match,description_hint,notes
FLOOR_SEATED_DOUBLE_ARM_SHOULDER_PRESS,SHOULDER_PRESS,SWISS_BALL_DUMBBELL_SHOULDER_PRESS,Swiss Ball Dumbbell Shoulder Press,heuristic,med,inferred,bodyweight,BW,,same,Floor Seated Double Arm Shoulder Press,
FLOOR_SEATED_DOUBLE_ARM_SHOULDER_PRESS_1,SHOULDER_PRESS,SWISS_BALL_DUMBBELL_SHOULDER_PRESS,Swiss Ball Dumbbell Shoulder Press,heuristic,med,inferred,bodyweight,BW,,same,Floor Seated Double Arm Shoulder Press 1,
FLOOR_SEATED_SINGLE_ARM_SHOULDER_PRESS,SHOULDER_PRESS,SINGLE_ARM_DUMBBELL_SHOULDER_PRESS,Single-arm Dumbbell Shoulder Press,heuristic,med,inferred,bodyweight,BW,,relaxed,Floor Seated Single Arm Shoulder Press,
FLOOR_SEATED_SINGLE_ARM_SHOULDER_PRESS_1,SHOULDER_PRESS,SINGLE_ARM_DUMBBELL_SHOULDER_PRESS,Single-arm Dumbbell Shoulder Press,heuristic,med,inferred,bodyweight,BW,,relaxed,Floor Seated Single Arm Shoulder Press 1,
FOCUSED_PRESS_UPS,PUSH_UP,CHEST_PRESS_WITH_BAND,Chest Press with Band,heuristic,med,inferred,bodyweight,BW,,relaxed,Focused Press Ups,
FORWARD_FOLD,WARM_UP,STRETCH_FORWARD_GLUTES,Forward Glutes Stretch,heuristic,med,inferred,bodyweight,BW,,same,Forward Fold,
FRONT_JUMPING_JACKS,PLYO,FRONT_KNEE_STRIKE,Front Knee Strike,heuristic,med,inferred,bodyweight,BW,,same,Front Jumping Jacks,
FRONT_LEG_RAISED_LUNGE,LUNGE,LUNGE,Lunge,curated,med,verified,bodyweight,STEP,QUADS,same,Front Leg Raised Lunge,front-foot-raised split squat; generic bodyweight lunge
FRONT_SQUAT,SQUAT,BARBELL_FRONT_SQUAT,Barbell Front Squat,heuristic,high,verified,weighted,BARBELL,QUADS,same,Front Squat,
FULL_STAR_JUMPS,PLYO,STAR_JUMP_SQUATS,Star Jump Squats,heuristic,med,inferred,bodyweight,BW,,same,Full Star Jumps,
GLUTE_BRIDGE,HIP_RAISE,HIP_RAISE,Hip Raise,curated,high,verified,bodyweight,BW,GLUTES,same,Glute Bridge,bodyweight glute bridge = hip raise
GLUTE_BRIDGE_1,HIP_RAISE,CLAM_BRIDGE,Clam Bridge,heuristic,med,inferred,bodyweight,BW,,same,Glute Bridge 1,
GLUTE_BRIDGE_HAM_WALKOUT,LEG_CURL,SLIDING_LEG_CURL,Sliding Leg Curl,curated,med,verified,bodyweight,BW,WARM_UP,relaxed,Glute Bridge Ham Walkout,glute bridge + heel walkout ≈ sliding leg curl
GLUTE_BRIDGE_WITH_WALK_OUT,HIP_RAISE,CLAM_BRIDGE,Clam Bridge,heuristic,med,inferred,bodyweight,BW,,same,Glute Bridge With Walk Out,
GOBLET_SQUAT,SQUAT,GOBLET_SQUAT,Goblet Squat,enum-exact,high,verified,weighted,KB,QUADS,same,Goblet Squat,
GOBLET_SQUAT_1,SQUAT,GOBLET_SQUAT,Goblet Squat,heuristic,med,inferred,bodyweight,BW,,relaxed,Goblet Squat 1,
GOOD_MORNINGS,LEG_CURL,BAND_GOOD_MORNING,Band Good Morning,heuristic,med,inferred,bodyweight,BW,,relaxed,Good Mornings,
HALF_LUNGE,LUNGE,LUNGE,Lunge,heuristic,med,inferred,bodyweight,BW,,same,Half Lunge,
HAMSTRING_SWEEPS,LEG_CURL,LEG_CURL,Leg Curl,fallback,low,inferred,bodyweight,BW,,relaxed,Hamstring Sweeps,no close match; generic same-muscle-group placeholder — see description
HAMSTRING_WALKOUT,LEG_CURL,SLIDING_LEG_CURL,Sliding Leg Curl,curated,med,verified,bodyweight,BW,HAMSTRING,relaxed,Hamstring Walkout,heel walkout ≈ sliding leg curl
HANGING_KNEE_RAISE,LEG_RAISE,HANGING_KNEE_RAISE,Hanging Knee Raise,enum-exact,med,inferred,bodyweight,BW,,same,Hanging Knee Raise,
HANGING_LEG_RAISE,LEG_RAISE,HANGING_LEG_RAISE,Hanging Leg Raise,enum-exact,med,inferred,bodyweight,BW,,same,Hanging Leg Raise,
HEEL_KICK_DRILL,CALF_RAISE,CALF_RAISE,Calf Raise,fallback,low,inferred,bodyweight,BW,,same,Heel Kick Drill,no close match; generic same-muscle-group placeholder — see description
HEEL_WALKS,WARM_UP,WARM_UP,Warm-up,fallback,low,verified,bodyweight,BW,WARM_UP,same,Heel Walks,heel walk (warmup); no equivalent
